payment,0,1600643070.887549473,1600643071.650971877,0.763422404
payment,2,1600643070.886548009,1600643071.742688378,0.856140369
payment,5,1600643070.888630617,1600643071.984765490,1.096134873
ordstat,1,1600643070.886347368,1600643072.83504495,1.197157127
payment,7,1600643070.886892233,1600643072.242982418,1.356090185
payment,6,1600643070.886286862,1600643072.343132997,1.456846135
payment,0,1600643071.651011979,1600643072.468080147,0.817068168
neword,4,1600643070.886500306,1600643072.734912494,1.848412188
payment,2,1600643071.742717413,1600643072.943410059,1.200692646
delivery,7,1600643072.243009802,1600643072.951684571,0.708674769
payment,8,1600643070.888986511,1600643073.130335584,2.241349073
payment,8,1600643073.130363911,1600643073.443720934,0.313357023
neword,9,1600643070.889655632,1600643073.668867427,2.779211795
delivery,7,1600643072.951693206,1600643073.868974367,0.917281161
payment,8,1600643073.443750049,1600643073.968995775,0.525245726
neword,0,1600643072.468110302,1600643074.85664807,1.617554505
neword,3,1600643070.886918178,1600643074.302486386,3.415568208
neword,2,1600643072.943438989,1600643074.644344480,1.700905491
neword,6,1600643072.343162845,1600643074.819471542,2.476308697
neword,1,1600643072.83534697,1600643074.861028018,2.777493321
delivery,7,1600643073.868983132,1600643075.194646394,1.325663262
payment,2,1600643074.644373993,1600643075.303223652,0.658849659
neword,5,1600643071.984796386,1600643075.378062498,3.393266112
neword,0,1600643074.85704733,1600643075.503130929,1.417426196
neword,9,1600643073.668905717,1600643075.578157969,1.909252252
payment,6,1600643074.819508547,1600643075.703233605,0.883725058
payment,1,1600643074.861057899,1600643075.794899030,0.933841131
delivery,7,1600643075.194654586,1600643075.986703646,0.792049060
neword,8,1600643073.969026591,1600643075.986712332,2.017685741
neword,3,1600643074.302524034,1600643076.86678574,1.784154540
payment,2,1600643075.303253139,1600643076.161723255,0.858470116
payment,0,1600643075.503167617,1600643076.270435152,0.767267535
payment,5,1600643075.378091930,1600643076.370226362,0.992134432
payment,6,1600643075.703262694,1600643076.478562324,0.775299630
delivery,7,1600643075.986712851,1600643076.920557782,0.933844931
payment,9,1600643075.578187427,1600643077.54062975,1.475875548
neword,1,1600643075.794929088,1600643077.245772786,1.450843698
ordstat,1,1600643077.245784478,1600643077.548372240,0.302587762
payment,6,1600643076.478591672,1600643077.629400915,1.150809243
neword,8,1600643075.986742389,1600643077.671027384,1.684284995
delivery,7,1600643076.920566545,1600643077.712638421,0.792071876
delivery,9,1600643077.54090252,1600643077.971112205,0.917021953
neword,2,1600643076.161754457,1600643078.187830090,2.026075633
delivery,7,1600643077.712647196,1600643078.375085822,0.662438626
payment,2,1600643078.187859394,1600643078.679748806,0.491889412
neword,5,1600643076.370257184,1600643078.896493522,2.526236338
delivery,7,1600643078.375094417,1600643079.4849043,0.629754626
neword,3,1600643076.86710984,1600643079.188304714,3.101593730
delivery,9,1600643077.971120821,1600643079.188327306,1.217206485
neword,0,1600643076.270466619,1600643079.296611561,3.026144942
ordstat,2,1600643078.679762113,1600643079.326159440,0.646397327
neword,1,1600643077.548401627,1600643079.421723960,1.873322333
delivery,7,1600643079.4856713,1600643079.646703586,0.641846873
delivery,9,1600643079.188335255,1600643079.688458477,0.500123222
payment,3,1600643079.188340646,1600643079.896926240,0.708585594
delivery,0,1600643079.296639952,1600643080.280445935,0.983805983
delivery,7,1600643079.646712362,1600643080.322133619,0.675421257
delivery,9,1600643079.688467177,1600643080.322181360,0.633714183
neword,6,1600643077.629431684,1600643080.768906332,3.139474648
neword,5,1600643078.896522099,1600643080.814028228,1.917506129
neword,2,1600643079.326189423,1600643080.814082094,1.487892671
delivery,0,1600643080.280454895,1600643080.964155385,0.683700490
delivery,9,1600643080.322190173,1600643081.14048973,0.691858800
slev,4,1600643072.734940006,1600643081.275589265,8.540649259
delivery,9,1600643081.14057679,1600643081.397495308,0.383437629
neword,7,1600643080.322163732,1600643081.539396424,1.217232692
delivery,0,1600643080.964164017,1600643081.622723505,0.658559488
delivery,0,1600643081.622732211,1600643082.39656987,0.416924776
delivery,9,1600643081.397549093,1600643082.81121118,0.683572025
payment,6,1600643080.768936882,1600643082.122864059,1.353927177
neword,5,1600643080.814059193,1600643082.122875333,1.308816140
neword,3,1600643079.896958132,1600643082.231204159,2.334246027
delivery,0,1600643082.39666052,1600643082.406335400,0.366669348
delivery,9,1600643082.81128894,1600643082.406439633,0.325310739
neword,1,1600643079.421755821,1600643082.448045433,3.026289612
payment,7,1600643081.539435183,1600643082.539719718,1.000284535
payment,2,1600643080.814112372,1600643082.631333509,1.817221137
payment,5,1600643082.122928502,1600643082.748123117,0.625194615
delivery,0,1600643082.406344120,1600643082.831475881,0.425131761
delivery,9,1600643082.406448383,1600643082.923188717,0.516740334
payment,1,1600643082.448074809,1600643083.6583904,0.558509095
payment,6,1600643082.122906507,1600643083.89986645,0.967080138
payment,2,1600643082.631359607,1600643083.306981238,0.675621631
payment,3,1600643082.231233445,1600643083.356839945,1.125606500
delivery,9,1600643082.923196358,1600643083.565278284,0.642081926
delivery,0,1600643082.831484576,1600643083.606936435,0.775451859
payment,5,1600643082.748152269,1600643083.714026559,0.965874290
neword,2,1600643083.307011519,1600643084.515730859,1.208719340
neword,7,1600643082.539750779,1600643084.590686673,2.050935894
delivery,0,1600643083.606945237,1600643084.732384361,1.125439124
neword,6,1600643083.90016250,1600643084.790870767,1.700854517
neword,1,1600643083.6612071,1600643084.949231289,1.942619218
payment,5,1600643083.714056021,1600643084.990861075,1.276805054
payment,9,1600643083.565321115,1600643085.57544743,1.492223628
slev,8,1600643077.671038057,1600643085.243244236,7.572206179
payment,5,1600643084.990889763,1600643085.532688610,0.541798847
payment,8,1600643085.243272404,1600643086.8074697,0.764802293
delivery,0,1600643084.732391742,1600643086.608320761,1.875929019
neword,7,1600643084.590716894,1600643086.794203414,2.203486520
delivery,0,1600643086.608329224,1600643086.941777625,0.333448401
payment,7,1600643086.794233426,1600643087.517587913,0.723354487
ordstat,0,1600643086.941789808,1600643087.520857616,0.579067808
neword,8,1600643086.8106120,1600643087.717658034,1.709551914
neword,2,1600643084.515763289,1600643087.867744547,3.351981258
neword,6,1600643084.790902602,1600643087.967739972,3.176837370
neword,1,1600643084.949263021,1600643088.267810146,3.318547125
neword,5,1600643085.532720370,1600643088.301245931,2.768525561
neword,9,1600643085.57573455,1600643088.334458121,3.276884666
delivery,0,1600643087.520886387,1600643088.498598795,0.977712408
payment,8,1600643087.717687571,1600643088.676372033,0.958684462
slev,4,1600643081.275599749,1600643088.705914875,7.430315126
payment,2,1600643087.867773708,1600643088.818169677,0.950395969
payment,6,1600643087.967769357,1600643088.818174779,0.850405422
payment,9,1600643088.334487669,1600643089.147040628,0.812552959
payment,5,1600643088.301275548,1600643089.194634255,0.893358707
delivery,0,1600643088.498606555,1600643089.251611544,0.753004989
payment,6,1600643088.818234574,1600643089.668605538,0.850370964
slev,3,1600643083.356851790,1600643089.843974594,6.487122804
delivery,0,1600643089.251620346,1600643089.977194037,0.725573691
neword,8,1600643088.676401742,1600643090.168967131,1.492565389
delivery,0,1600643089.977202940,1600643090.452432158,0.475229218
payment,3,1600643089.844003327,1600643090.569300373,0.725297046
neword,7,1600643087.517620153,1600643090.694363583,3.176743430
neword,5,1600643089.194664805,1600643090.903016944,1.708352139
delivery,0,1600643090.452441210,1600643090.936404202,0.483962992
neword,9,1600643089.147071241,1600643090.936447984,1.789376743
neword,4,1600643088.705946803,1600643090.969732681,2.263785878
payment,8,1600643090.168997514,1600643090.969762385,0.800764871
neword,1,1600643088.267842033,1600643090.969823772,2.701981739
ordstat,7,1600643090.694375305,1600643091.61715123,0.367339818
payment,3,1600643090.569329536,1600643091.69706430,0.500376894
delivery,0,1600643090.936413197,1600643091.195045857,0.258632660
neword,6,1600643089.668645216,1600643091.244753897,1.576108681
neword,2,1600643088.818217499,1600643091.286730266,2.468512767
payment,5,1600643090.903046353,1600643091.469937523,0.566891170
payment,9,1600643090.936477832,1600643091.586776203,0.650298371
delivery,8,1600643090.969791175,1600643091.745136502,0.775345327
payment,7,1600643091.61742062,1600643091.969728487,0.907986425
payment,6,1600643091.244783347,1600643091.995215824,0.750432477
delivery,0,1600643091.195054520,1600643092.20185959,0.825131439
payment,2,1600643091.286760613,1600643092.245278276,0.958517663
delivery,0,1600643092.20194728,1600643092.445366387,0.425171659
payment,7,1600643091.969758421,1600643092.620687878,0.650929457
delivery,8,1600643091.745145288,1600643092.656451298,0.911306010
delivery,0,1600643092.445375170,1600643093.260758450,0.815383280
neword,3,1600643091.69736780,1600643093.395758991,2.326022211
neword,5,1600643091.469967914,1600643093.937726804,2.467758890
delivery,8,1600643092.656458912,1600643093.970968735,1.314509823
neword,2,1600643092.245325676,1600643093.970980390,1.725654714
neword,9,1600643091.586807364,1600643094.12748770,2.425941406
neword,4,1600643090.969766761,1600643094.104504486,3.134737725
delivery,0,1600643093.260767474,1600643094.196267166,0.935499692
neword,7,1600643092.620717857,1600643094.387835065,1.767117208
ordstat,3,1600643093.395770776,1600643094.436675401,1.040904625
delivery,8,1600643093.970976418,1600643094.821374069,0.850397651
payment,4,1600643094.104534010,1600643095.71551418,0.967017408
neword,0,1600643094.196294415,1600643095.104981822,0.908687407
payment,9,1600643094.12778113,1600643095.138265776,1.125487663
payment,5,1600643093.937756852,1600643095.138275519,1.200518667
payment,4,1600643095.71581109,1600643095.305039400,0.233458291
neword,2,1600643093.971011298,1600643095.388428311,1.417417013
delivery,8,1600643094.821382753,1600643095.922001003,1.100618250
delivery,5,1600643095.138320210,1600643095.980382465,0.842062255
neword,4,1600643095.305069036,1600643095.980429645,0.675360609
payment,9,1600643095.138300105,1600643096.130412759,0.992112654
neword,6,1600643094.246005537,1600643096.180394307,1.934388770
payment,0,1600643095.105012614,1600643096.238688139,1.133675525
payment,2,1600643095.388457565,1600643096.355530621,0.967073056
delivery,5,1600643095.980391083,1600643096.597183108,0.616792025
payment,9,1600643096.130442206,1600643096.684261310,0.553819104
delivery,8,1600643095.922008283,1600643096.741345682,0.819337399
payment,2,1600643096.355559983,1600643097.205932896,0.850372913
payment,9,1600643096.684290619,1600643097.330954632,0.646664013
delivery,5,1600643096.597190926,1600643097.447745692,0.850554766
neword,3,1600643094.436706077,1600643097.689471276,3.252765199
delivery,8,1600643096.741354424,1600643097.731158409,0.989803985
neword,6,1600643096.180425275,1600643097.781132139,1.600706864
neword,0,1600643096.238717844,1600643097.997942909,1.759225065
delivery,9,1600643097.330982932,1600643098.248010555,0.917027623
delivery,5,1600643097.447754389,1600643098.306386875,0.858632486
neword,4,1600643095.980462736,1600643098.548217976,2.567755240
payment,6,1600643097.781161403,1600643098.648281795,0.867120392
delivery,8,1600643097.731167193,1600643098.690129569,0.958962376
neword,2,1600643097.205964989,1600643098.759451960,1.553486971
payment,0,1600643097.997970390,1600643098.848300545,0.850330155
delivery,9,1600643098.248019207,1600643099.6756064,0.758736857
delivery,5,1600643098.306395510,1600643099.123425538,0.817030028
payment,4,1600643098.548247605,1600643099.298583061,0.750335456
