time,timestamp,container_sockets_webui,container_threads_webui,type,momentum,throttled%_webui,cpu_cfs_throttled_seconds_webui,cpu_system_webui,cpu_user_webui,cpu_usage_webui,memory_usage_webui,memory_working_webui,memory_max_webui,memory_rss_webui,container_sockets_auth,container_threads_auth,throttled%_auth,cpu_cfs_throttled_seconds_auth,cpu_system_auth,cpu_user_auth,cpu_usage_auth,memory_usage_auth,memory_working_auth,memory_max_auth,memory_rss_auth,container_sockets_image,container_threads_image,throttled%_image,cpu_cfs_throttled_seconds_image,cpu_system_image,cpu_user_image,cpu_usage_image,memory_usage_image,memory_working_image,memory_max_image,memory_rss_image,container_sockets_persistence,container_threads_persistence,throttled%_persistence,cpu_cfs_throttled_seconds_persistence,cpu_system_persistence,cpu_user_persistence,cpu_usage_persistence,memory_usage_persistence,memory_working_persistence,memory_max_persistence,memory_rss_persistence,container_sockets_recommender,container_threads_recommender,throttled%_recommender,cpu_cfs_throttled_seconds_recommender,cpu_system_recommender,cpu_user_recommender,cpu_usage_recommender,memory_usage_recommender,memory_working_recommender,memory_max_recommender,memory_rss_recommender,container_memory_failures_total_webui,container_memory_failures_total_persistence,container_memory_failures_total_auth,container_memory_failures_total_image,container_memory_failures_total_recommender
2022-04-05 14:13:16,1649167996,439,417.0,normal,pre,0.5103448275862069,12.854970911999883,0.173333333333334,0.6242857142857149,0.814964119999997,0.3515179951985677,0.3465245564778645,0.3516896565755208,0.3375841776529948,50.0,259.0,0.0789473684210526,1.6589281709999997,0.0592105263157896,0.3486842105263165,0.4090282342763142,0.1715583801269531,0.1683273315429687,0.1716321309407552,0.1619885762532552,31.0,257.0,0.064516129032258,1.6650282989999994,0.1230263157894735,0.4302631578947344,0.4807790263815809,0.1897099812825521,0.1812756856282552,0.1960932413736979,0.1654052734375,98.0,189.0,0.0428571428571428,0.6537337629999911,0.1214285714285716,0.4507142857142859,0.5879536967857177,0.1392644246419271,0.1330960591634114,0.1398735046386718,0.127081553141276,29.0,159.0,0.1511627906976744,1.8586360140000124,0.0280112044817928,0.2661064425770316,0.2916660002801131,0.1196339925130208,0.1164868672688802,0.1221351623535156,0.1113090515136718,99,561.0,462.0,33.0,396.0
2022-04-05 14:13:31,1649168011,486,419.0,normal,pre,0.7210884353741497,20.60605346300008,0.1795555555555552,0.6440000000000005,0.8399800450222251,0.3517049153645833,0.3467114766438802,0.3517939249674479,0.3376681009928385,53.0,259.0,0.0172413793103448,0.159473277999993,0.0691176470588233,0.344117647058824,0.4142917782352948,0.1716690063476562,0.1684379577636718,0.1716779073079427,0.1621144612630208,34.0,257.0,0.0769230769230769,0.6097755290000038,0.1281250000000004,0.4489583333333335,0.5243974469791665,0.1897125244140625,0.1812782287597656,0.1960932413736979,0.1654052734375,98.0,189.0,0.0709677419354838,1.0696476709999985,0.1286666666666671,0.4926666666666657,0.6488127494666666,0.1393241882324218,0.1331558227539062,0.1398735046386718,0.1271235148111979,12.0,159.0,0.1296296296296296,1.25425522499998,0.0346320346320342,0.2359307359307366,0.2826964982683982,0.1199735005696614,0.1168263753255208,0.1221351623535156,0.111602783203125,132,33.0,66.0,0.0,264.0
2022-04-05 14:13:46,1649168026,549,413.0,normal,pre,0.7315436241610739,20.52089381799988,0.1884444444444448,0.6528888888888863,0.8638224635111076,0.3518015543619792,0.346808115641276,0.3518854777018229,0.3378740946451823,53.0,259.0,0.0172413793103448,0.159473277999993,0.0691176470588233,0.344117647058824,0.4142917782352948,0.1716690063476562,0.1684379577636718,0.1716779073079427,0.1621144612630208,41.0,257.0,0.1025641025641025,2.5099084309999995,0.1333333333333334,0.5291666666666686,0.5966273082500019,0.1897176106770833,0.1812833150227864,0.1960932413736979,0.1654052734375,117.0,189.0,0.1377245508982036,2.8043625330000026,0.1270588235294115,0.5,0.6466529773529414,0.1394131978352864,0.1332448323567708,0.1398735046386718,0.1271235148111979,15.0,159.0,0.1085714285714285,1.3236938010000188,0.0291005291005291,0.2380952380952377,0.2640552798941805,0.1199900309244791,0.1168429056803385,0.1221351623535156,0.111602783203125,396,33.0,66.0,0.0,33.0
2022-04-05 14:14:00,1649168040,377,412.0,normal,pre,0.4676258992805755,11.35114026400015,0.1609523809523807,0.5833333333333334,0.748230519238096,0.3517710367838542,0.346777598063151,0.3518854777018229,0.3379122416178385,72.0,262.0,0.0529801324503311,0.3850160000000073,0.0734375000000001,0.3531249999999986,0.4198535103906242,0.1719029744466146,0.1686719258626302,0.1719029744466146,0.1622403462727864,27.0,257.0,0.059880239520958,0.8281168390000033,0.1154411764705877,0.4492647058823539,0.4945412515441164,0.1897443135579427,0.1813100179036458,0.1960932413736979,0.1654052734375,179.0,189.0,0.0909090909090909,0.959692258000004,0.1308333333333327,0.5,0.6667075052499977,0.1393890380859375,0.1332206726074218,0.1398735046386718,0.1271235148111979,15.0,159.0,0.1085714285714285,1.3236938010000188,0.0291005291005291,0.2380952380952377,0.2640552798941805,0.1199900309244791,0.1168429056803385,0.1221351623535156,0.111602783203125,99,33.0,165.0,99.0,0.0
2022-04-05 14:14:18,1649168058,432,412.0,normal,pre,0.648936170212766,22.861194165999905,0.2029629629629625,0.6585185185185175,0.8834059718518533,0.3520100911458333,0.3470166524251302,0.352020263671875,0.338080088297526,48.0,262.0,0.0209424083769633,0.3742244219999975,0.0638157894736841,0.3151315789473697,0.3775069641447378,0.1719093322753906,0.1686782836914062,0.1720314025878906,0.1623662312825521,41.0,257.0,0.1403508771929824,1.004288275999997,0.1352272727272732,0.5215909090909062,0.5851408217045417,0.1897557576497396,0.1813214619954427,0.1960932413736979,0.1654052734375,107.0,189.0,0.0857142857142857,1.6407326479999966,0.1217647058823533,0.457058823529414,0.6154711976470587,0.1393979390462239,0.1332295735677083,0.1398735046386718,0.1271235148111979,12.0,159.0,0.0419580419580419,0.294510420999984,0.0365079365079365,0.1904761904761909,0.2222055649206352,0.1200091044108073,0.1168619791666666,0.1221351623535156,0.111602783203125,165,0.0,66.0,0.0,33.0
2022-04-05 14:14:31,1649168071,378,408.0,normal,pre,0.4435483870967742,9.47588212300002,0.164102564102565,0.5574358974358976,0.7381395145128246,0.3518575032552083,0.3468640645345052,0.3520304361979167,0.3381220499674479,25.0,262.0,0.0625,0.7231843799999922,0.0776315789473684,0.350657894736841,0.4250822819078935,0.1719805399576822,0.1687494913736979,0.1720314025878906,0.1624081929524739,26.0,257.0,0.0458015267175572,0.7399407620000034,0.1442307692307685,0.4663461538461559,0.53831358038462,0.1897608439127604,0.1813265482584635,0.1960932413736979,0.1654052734375,62.0,189.0,0.1256281407035175,3.0761088510000008,0.1280000000000001,0.4834999999999979,0.6351374765999992,0.1394284566243489,0.1332600911458333,0.1398735046386718,0.1272074381510416,12.0,159.0,0.0419580419580419,0.294510420999984,0.0365079365079365,0.1904761904761909,0.2222055649206352,0.1200091044108073,0.1168619791666666,0.1221351623535156,0.111602783203125,66,66.0,33.0,0.0,33.0
2022-04-05 14:14:48,1649168088,463,384.0,normal,pre,0.6176470588235294,20.74592142200004,0.165882352941176,0.6380392156862739,0.8331665775294109,0.3512458801269531,0.34625244140625,0.3520304361979167,0.3377418518066406,43.0,260.0,0.0301204819277108,0.2190373420000071,0.0648437499999998,0.3343750000000001,0.4036766806250025,0.1719703674316406,0.1687393188476562,0.172064463297526,0.1624501546223958,32.0,257.0,0.0434782608695652,0.4688560169999931,0.1208333333333344,0.486458333333329,0.5128661282291643,0.1897608439127604,0.1813265482584635,0.1960932413736979,0.1654052734375,58.0,189.0,0.0411764705882352,0.514002031000004,0.1311764705882355,0.4582352941176482,0.6064181629411778,0.1394488016764322,0.1332804361979166,0.1398735046386718,0.1272074381510416,12.0,159.0,0.0895522388059701,0.7235159039999814,0.0311355311355311,0.2307692307692317,0.2635355756410249,0.1200472513834635,0.1169001261393229,0.1221351623535156,0.111602783203125,198,33.0,33.0,0.0,33.0
2022-04-05 14:15:00,1649168100,469,396.0,normal,pre,0.6290322580645161,15.518574434999891,0.183888888888889,0.6577777777777796,0.8583107013888847,0.3515218098958333,0.3465283711751302,0.3520304361979167,0.3377838134765625,40.0,259.0,0.0465116279069767,0.6541294240000042,0.0590277777777778,0.3298611111111111,0.3850408033333331,0.1720212300618489,0.1687901814778646,0.172064463297526,0.1624921162923177,47.0,257.0,0.0232558139534883,0.1803775329999979,0.1259615384615373,0.4451923076923073,0.4718479613461513,0.1898015340169271,0.1813672383626302,0.1960932413736979,0.1654472351074218,95.0,189.0,0.0909090909090909,0.8139289929999904,0.1309090909090907,0.4936363636363642,0.6297263576363641,0.1394526163736979,0.1332842508951822,0.1398735046386718,0.1272074381510416,15.0,159.0,0.0387596899224806,0.2314042609999944,0.0293040293040293,0.1886446886446888,0.2226186510988999,0.1200548807779948,0.1169077555338541,0.1221351623535156,0.1116447448730468,231,0.0,132.0,0.0,0.0
2022-04-05 14:15:13,1649168113,371,396.0,normal,pre,0.5,11.45142726600011,0.156923076923077,0.5292307692307717,0.7284458557948756,0.3516108194986979,0.3466173807779948,0.3520304361979167,0.3378257751464844,52.0,259.0,0.0327868852459016,0.182798132000002,0.0635416666666666,0.3677083333333334,0.420176266979162,0.1720364888509114,0.1688054402669271,0.1721343994140625,0.1625760396321614,26.0,257.0,0.1085271317829457,1.2969218540000045,0.1269230769230776,0.4913461538461551,0.5549989633653878,0.1898511250813802,0.1814168294270833,0.1960932413736979,0.1655311584472656,96.0,189.0,0.0416666666666666,0.6725645340000028,0.1299999999999992,0.4466666666666659,0.6099281503999995,0.1394691467285156,0.13330078125,0.1398735046386718,0.1272074381510416,13.0,159.0,0.0,0.0,0.026190476190476,0.1499999999999989,0.183213785238098,0.1200548807779948,0.1169077555338541,0.1221351623535156,0.1116447448730468,66,0.0,33.0,33.0,33.0
2022-04-05 14:15:30,1649168130,416,394.0,normal,pre,0.6744186046511628,20.19764473300006,0.1874509803921569,0.6749019607843106,0.8824997830196052,0.3516807556152344,0.3466873168945312,0.3520304361979167,0.33795166015625,38.0,259.0,0.0894736842105263,1.40417455299999,0.0611842105263157,0.3809210526315784,0.4364682471710555,0.1720975240071614,0.1688664754231771,0.1721343994140625,0.1626180013020833,24.0,257.0,0.1105263157894736,1.3948340719999948,0.1342105263157898,0.4822368421052621,0.5433844101973686,0.1898981730143229,0.181463877360026,0.1960932413736979,0.1655731201171875,144.0,189.0,0.0934065934065934,1.4028526050000067,0.1294444444444451,0.4988888888888899,0.6539829486666677,0.1394971211751302,0.1333287556966146,0.1398735046386718,0.1272074381510416,13.0,159.0,0.025,0.1238433489999977,0.0337301587301587,0.1805555555555549,0.2126332869047608,0.1201324462890625,0.1169853210449218,0.1221351623535156,0.1117706298828125,132,33.0,33.0,99.0,66.0
